id;name;description;price;size;image;image_content_type
1;budgetary management;cyan ivory;81998;L;../fake-data/blob/hipster.png;image/png
2;Dynamic bypassing Sharable;Western Sahara GB;61378;XL;../fake-data/blob/hipster.png;image/png
3;SDD;orchid pink;33378;S;../fake-data/blob/hipster.png;image/png
4;Awesome Shoes;Accounts virtual Small;39867;L;../fake-data/blob/hipster.png;image/png
5;Berkshire;synthesize calculating;20559;XL;../fake-data/blob/hipster.png;image/png
6;directional payment;transition;23088;XL;../fake-data/blob/hipster.png;image/png
7;primary Hollow Sleek;Soft Assurance;28300;L;../fake-data/blob/hipster.png;image/png
8;real-time Implementation product;dynamic Cheese;3519;XL;../fake-data/blob/hipster.png;image/png
9;solid state Benin Strategist;circuit synergies;79849;L;../fake-data/blob/hipster.png;image/png
10;optimize Rwanda Franc;Intranet XSS uniform;74317;M;../fake-data/blob/hipster.png;image/png
